EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-08-2026
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : maximum temperature in 0.1 &#176;C
30-34 Q_TX : Quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 111450) of GERMANY, BERLIN-TEMPELHOF (STAID: 2759)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TX, Q_TX
  2759,111450,20150613,  317,    0
  2759,111450,20150614,  212,    0
  2759,111450,20150615,  190,    0
  2759,111450,20150616,  158,    0
  2759,111450,20150617,  220,    0
  2759,111450,20150618,  214,    0
  2759,111450,20150619,  181,    0
  2759,111450,20150620,  169,    0
  2759,111450,20150621,  197,    0
  2759,111450,20150622,  186,    0
  2759,111450,20150623,  134,    0
  2759,111450,20150624,  165,    0
  2759,111450,20150625,  239,    0
  2759,111450,20150626,  237,    0
  2759,111450,20150627,  236,    0
  2759,111450,20150628,  226,    0
  2759,111450,20150629,  275,    0
  2759,111450,20150630,  257,    0
  2759,111450,20150701,  268,    0
  2759,111450,20150702,  305,    0
  2759,111450,20150703,  346,    0
  2759,111450,20150704,  378,    0
  2759,111450,20150705,  366,    0
  2759,111450,20150706,  258,    0
  2759,111450,20150707,  326,    0
  2759,111450,20150708,  232,    0
  2759,111450,20150709,  186,    0
  2759,111450,20150710,  201,    0
  2759,111450,20150711,  226,    0
  2759,111450,20150712,  257,    0
  2759,111450,20150713,  217,    0
  2759,111450,20150714,  210,    0
  2759,111450,20150715,  232,    0
  2759,111450,20150716,  263,    0
  2759,111450,20150717,  322,    0
  2759,111450,20150718,  271,    0
  2759,111450,20150719,  222,    0
  2759,111450,20150720,  248,    0
  2759,111450,20150721,  288,    0
  2759,111450,20150722,  301,    0
  2759,111450,20150723,  251,    0
  2759,111450,20150724,  265,    0
  2759,111450,20150725,  287,    0
  2759,111450,20150726,  216,    0
  2759,111450,20150727,  224,    0
  2759,111450,20150728,  209,    0
  2759,111450,20150729,  217,    0
  2759,111450,20150730,  202,    0
  2759,111450,20150731,  205,    0
  2759,111450,20150801,  268,    0
  2759,111450,20150802,  305,    0
  2759,111450,20150803,  329,    0
  2759,111450,20150804,  351,    0
  2759,111450,20150805,  267,    0
  2759,111450,20150806,  350,    0
  2759,111450,20150807,  380,    0
  2759,111450,20150808,  340,    0
  2759,111450,20150809,  290,    0
  2759,111450,20150810,  331,    0
  2759,111450,20150811,  341,    0
  2759,111450,20150812,  295,    0
  2759,111450,20150813,  300,    0
  2759,111450,20150814,  348,    0
  2759,111450,20150815,  311,    0
  2759,111450,20150816,  308,    0
  2759,111450,20150817,  275,    0
  2759,111450,20150818,  207,    0
  2759,111450,20150819,  246,    0
  2759,111450,20150820,  263,    0
  2759,111450,20150821,  273,    0
  2759,111450,20150822,  275,    0
  2759,111450,20150823,  261,    0
  2759,111450,20150824,  285,    0
  2759,111450,20150825,  223,    0
  2759,111450,20150826,  268,    0
  2759,111450,20150827,  283,    0
  2759,111450,20150828,  208,    0
  2759,111450,20150829,  250,    0
  2759,111450,20150830,  313,    0
  2759,111450,20150831,  356,    0
  2759,111450,20150901,  294,    0
  2759,111450,20150902,  212,    0
  2759,111450,20150903,  195,    0
  2759,111450,20150904,  207,    0
  2759,111450,20150905,  197,    0
  2759,111450,20150906,  184,    0
  2759,111450,20150907,  184,    0
  2759,111450,20150908,  204,    0
  2759,111450,20150909,  185,    0
  2759,111450,20150910,  201,    0
  2759,111450,20150911,  166,    0
  2759,111450,20150912,  232,    0
  2759,111450,20150913,  241,    0
  2759,111450,20150914,  220,    0
  2759,111450,20150915,  207,    0
  2759,111450,20150916,  250,    0
  2759,111450,20150917,  257,    0
  2759,111450,20150918,  208,    0
  2759,111450,20150919,  212,    0
  2759,111450,20150920,  168,    0
  2759,111450,20150921,  171,    0
  2759,111450,20150922,  201,    0
  2759,111450,20150923,  172,    0
  2759,111450,20150924,  195,    0
  2759,111450,20150925,  196,    0
  2759,111450,20150926,  182,    0
  2759,111450,20150927,  174,    0
  2759,111450,20150928,  191,    0
  2759,111450,20150929,  178,    0
  2759,111450,20150930,  167,    0
  2759,111450,20151001,  180,    0
  2759,111450,20151002,  203,    0
  2759,111450,20151003,  205,    0
  2759,111450,20151004,  206,    0
  2759,111450,20151005,  199,    0
  2759,111450,20151006,  173,    0
  2759,111450,20151007,  147,    0
  2759,111450,20151008,   88,    0
  2759,111450,20151009,  120,    0
  2759,111450,20151010,  107,    0
  2759,111450,20151011,   96,    0
  2759,111450,20151012,   91,    0
  2759,111450,20151013,   51,    0
  2759,111450,20151014,   72,    0
  2759,111450,20151015,   73,    0
  2759,111450,20151016,   92,    0
  2759,111450,20151017,   91,    0
  2759,111450,20151018,  118,    0
  2759,111450,20151019,   90,    0
  2759,111450,20151020,  111,    0
  2759,111450,20151021,  119,    0
  2759,111450,20151022,  117,    0
  2759,111450,20151023,  149,    0
  2759,111450,20151024,  142,    0
  2759,111450,20151025,  135,    0
  2759,111450,20151026,  130,    0
  2759,111450,20151027,  135,    0
  2759,111450,20151028,  115,    0
  2759,111450,20151029,  115,    0
  2759,111450,20151030,   96,    0
  2759,111450,20151031,  160,    0
